target,model,fold,R2,RMSE,MAE,nRMSE,Bias
Helicity,Random Forest,2,0.9750717230203328,31.504411007766624,24.953989156189472,0.15788691199610938,-0.3254348965876818
Helicity,Random Forest,3,0.9747938028719672,31.764256805861706,25.47695607078577,0.158764596582591,-2.1403932985737364
Helicity,Random Forest,4,0.9738291274975857,31.565516074448624,25.800646198278034,0.16177414040078955,0.41011355661137827
Helicity,Gradient Boosting,0,0.9768061894273697,30.333607659021638,23.906210068185004,0.15229514297123956,1.869875148194626
Helicity,Gradient Boosting,1,0.9795957358559191,29.683761911585805,23.779051967430174,0.1428434952809576,1.6595439932705494
Helicity,Gradient Boosting,2,0.9735512636910172,32.450971072545,25.53560151075003,0.16263067456351155,2.2564282565718474
Helicity,Gradient Boosting,3,0.9768586070457649,30.435453887059293,24.727383228956477,0.1521229534101777,-2.3059657805408635
Helicity,Gradient Boosting,4,0.9752860917932468,30.674289207275987,25.22189653782553,0.1572065781281217,0.011494144055843473
Helicity,MLP,0,0.9706265638393325,34.13621689741406,27.24221709498165,0.17138680276108628,2.409082533155444
Helicity,MLP,1,0.9779049235838906,30.889169011218478,24.647200159757105,0.1486441267460957,0.01257335091685846
Helicity,MLP,2,0.9718445553354439,33.48161739117422,27.798571584830174,0.16779584221474644,1.2108287359297292
Helicity,MLP,3,0.975783607111434,31.13434699429551,24.17945390931787,0.15561617168072875,-1.7113714231187014
Helicity,MLP,4,0.9708860050038426,33.29313523082267,26.619500109310554,0.17062823622178525,0.7246722152648759
Q-Criterion,Linear Ridge,0,0.8952791430027024,1258.0537243168944,1015.1492723652685,0.32360602126242594,-15.511747571527764
Q-Criterion,Linear Ridge,1,0.9207408382495814,1164.1255465421737,921.9238113785294,0.2815300370305425,1.5588116065225284
Q-Criterion,Linear Ridge,2,0.9027937699901262,1360.062126816159,1103.4640602275085,0.31177913658529793,58.63359469519605
Q-Criterion,Linear Ridge,3,0.8946244172598434,1326.3114952963754,1073.7307717457768,0.3246160543475269,-35.852540499986134
Q-Criterion,Linear Ridge,4,0.8894391316205563,1287.738876966719,1038.0434753630957,0.3325069448589664,-9.674268524235133
Q-Criterion,Quadratic Ridge,0,0.8936479484971704,1267.8139608126453,1011.9693968057663,0.3261166225490961,-12.006155732584642
Q-Criterion,Quadratic Ridge,1,0.9177844364178838,1185.6379765248596,936.7357758381368,0.2867325645651645,21.69642318706582
Q-Criterion,Quadratic Ridge,2,0.9013048606702312,1370.4385899582717,1100.9709805470093,0.3141578255109505,75.63620207610963
Q-Criterion,Quadratic Ridge,3,0.8902372721386451,1353.6393942421475,1094.742219309491,0.3313045847273395,-61.483175356799556
Q-Criterion,Quadratic Ridge,4,0.8886869341572514,1292.111997374381,1052.0281898034186,0.33363612790396163,-52.019117353392794
Q-Criterion,Random Forest,0,0.8819069510684637,1335.9640189934878,1080.528243447365,0.3436466920130852,-11.45318629843081
Q-Criterion,Random Forest,1,0.9027505841585965,1289.4917949149863,1041.7795119640352,0.3118483859849261,-31.38513778786175
Q-Criterion,Random Forest,2,0.8897385047167957,1448.5171316950289,1181.6850936974706,0.33205646399852584,41.75465625961869
Q-Criterion,Random Forest,3,0.8757934948142974,1439.950987936184,1151.0797627374125,0.35242943291629686,-4.832901972260018
Q-Criterion,Random Forest,4,0.8713001176175588,1389.364384234016,1096.9188873061933,0.3587476583650982,3.1677622791036266
Q-Criterion,Gradient Boosting,0,0.8717191030583465,1392.398631746704,1139.2661981678575,0.35816322667417083,1.4078206490100154
Q-Criterion,Gradient Boosting,1,0.897997963824651,1320.6249654968278,1053.006238859527,0.3193775761936786,-18.488327886565397
Q-Criterion,Gradient Boosting,2,0.8907027558762434,1442.169487842451,1160.5450095492236,0.33060133714756307,67.25706265393637
Q-Criterion,Gradient Boosting,3,0.8734579068063658,1453.4264054788173,1148.0265866828515,0.35572755472922557,12.650611089200078
Q-Criterion,Gradient Boosting,4,0.8726750889989594,1381.922784590746,1109.9629163851766,0.3568261635601299,36.175661731276776
Q-Criterion,MLP,0,0.884298839130103,1322.3653233435957,1056.2810394561839,0.3401487334533188,3.570985269997303
Q-Criterion,MLP,1,0.9109462516753438,1233.9602912460582,995.4472546155605,0.2984187466039226,0.2482123480412459
Q-Criterion,MLP,2,0.8922374671496373,1432.008488569894,1134.9055073890709,0.3282720409208843,117.24718651834159
Q-Criterion,MLP,3,0.8816483407598683,1405.603126574733,1132.338650632522,0.3440227597705299,-21.10369254453588
Q-Criterion,MLP,4,0.8787554868035474,1348.52230367173,1094.9850006856911,0.34820182824972734,-45.76141005969843
