target,model,bin,swirl_mean,value
Helicity,Random Forest,6,1.3123214285714286,537.9277928501843
Helicity,Gradient Boosting,6,1.3123214285714286,547.9389167634977
Helicity,TRUE,7,1.3685727272727273,732.1346545454546
Helicity,Quadratic Ridge,7,1.3685727272727273,731.6024023428513
Helicity,Linear Ridge,7,1.3685727272727273,689.0842498185012
Helicity,Random Forest,7,1.3685727272727273,566.443337009117
Helicity,Gradient Boosting,7,1.3685727272727273,575.8433013116019
Helicity,TRUE,8,1.4265727272727273,757.5426818181818
Helicity,Quadratic Ridge,8,1.4265727272727273,749.5414294142236
Helicity,Linear Ridge,8,1.4265727272727273,709.5732633761581
Helicity,Random Forest,8,1.4265727272727273,552.1284902514539
Helicity,Gradient Boosting,8,1.4265727272727273,561.2115304930686
Helicity,TRUE,9,1.4776909090909094,781.0640181818181
Helicity,Quadratic Ridge,9,1.4776909090909094,777.6455648336998
Helicity,Linear Ridge,9,1.4776909090909094,733.0131964634941
Helicity,Random Forest,9,1.4776909090909094,547.8781377135479
Helicity,Gradient Boosting,9,1.4776909090909094,557.5918905150063
Q-Criterion,TRUE,0,0.44801818181818187,35873.396718181815
Q-Criterion,Quadratic Ridge,0,0.44801818181818187,35941.59992934328
Q-Criterion,Linear Ridge,0,0.44801818181818187,35853.42900871168
Q-Criterion,Random Forest,0,0.44801818181818187,36014.43447274235
Q-Criterion,Gradient Boosting,0,0.44801818181818187,35893.6347408514
Q-Criterion,TRUE,1,0.7141818181818183,36852.447981818186
Q-Criterion,Quadratic Ridge,1,0.7141818181818183,36815.05687238252
Q-Criterion,Linear Ridge,1,0.7141818181818183,36982.55705135252
Q-Criterion,Random Forest,1,0.7141818181818183,36863.17060259615
Q-Criterion,Gradient Boosting,1,0.7141818181818183,36919.47181776235
Q-Criterion,TRUE,2,0.9504636363636364,38894.57276363636
Q-Criterion,Quadratic Ridge,2,0.9504636363636364,38946.14775422966
Q-Criterion,Linear Ridge,2,0.9504636363636364,38943.234245025655
Q-Criterion,Random Forest,2,0.9504636363636364,38997.710375064744
Q-Criterion,Gradient Boosting,2,0.9504636363636364,38976.82648245581
Q-Criterion,TRUE,3,1.1531495327102803,40871.33022429906
Q-Criterion,Quadratic Ridge,3,1.1531495327102803,40761.77533995707
Q-Criterion,Linear Ridge,3,1.1531495327102803,40527.03147968487
Q-Criterion,Random Forest,3,1.1531495327102803,40141.9726940029
Q-Criterion,Gradient Boosting,3,1.1531495327102803,40340.31731289644
Q-Criterion,TRUE,4,1.2048636363636362,40534.00259090909
Q-Criterion,Quadratic Ridge,4,1.2048636363636362,40493.7140983271
Q-Criterion,Linear Ridge,4,1.2048636363636362,40228.62528532381
Q-Criterion,Random Forest,4,1.2048636363636362,39574.326837811255
Q-Criterion,Gradient Boosting,4,1.2048636363636362,39660.57374865708
Q-Criterion,TRUE,5,1.2555636363636367,41185.3073909091
Q-Criterion,Quadratic Ridge,5,1.2555636363636367,41140.50466403257
Q-Criterion,Linear Ridge,5,1.2555636363636367,40725.42364359803
Q-Criterion,Random Forest,5,1.2555636363636367,39707.10624718715
Q-Criterion,Gradient Boosting,5,1.2555636363636367,39768.50961145612
Q-Criterion,TRUE,6,1.3123214285714286,40557.90567857143
Q-Criterion,Quadratic Ridge,6,1.3123214285714286,40891.42148741701
Q-Criterion,Linear Ridge,6,1.3123214285714286,40263.282548304254
Q-Criterion,Random Forest,6,1.3123214285714286,38987.29658872623
Q-Criterion,Gradient Boosting,6,1.3123214285714286,39135.389532359215
Q-Criterion,TRUE,7,1.3685727272727273,42302.95773636363
Q-Criterion,Quadratic Ridge,7,1.3685727272727273,42322.97238442301
Q-Criterion,Linear Ridge,7,1.3685727272727273,41630.48712767167
Q-Criterion,Random Forest,7,1.3685727272727273,39979.82980606406
Q-Criterion,Gradient Boosting,7,1.3685727272727273,40122.984554264905
Q-Criterion,TRUE,8,1.4265727272727273,42171.28195454546
Q-Criterion,Quadratic Ridge,8,1.4265727272727273,42320.527991059535
Q-Criterion,Linear Ridge,8,1.4265727272727273,41463.44625277125
Q-Criterion,Random Forest,8,1.4265727272727273,39552.106413917114
Q-Criterion,Gradient Boosting,8,1.4265727272727273,39652.95853873425
Q-Criterion,TRUE,9,1.4776909090909094,42377.99041818182
Q-Criterion,Quadratic Ridge,9,1.4776909090909094,42703.98830526965
Q-Criterion,Linear Ridge,9,1.4776909090909094,41623.00447280145
Q-Criterion,Random Forest,9,1.4776909090909094,39343.258085668924
Q-Criterion,Gradient Boosting,9,1.4776909090909094,39478.767356884826
